date,Total COVID Cases,New COVID cases in one day,deaths,new deaths
2020-03-06,1,0,0,0
2020-03-07,1,0,0,0
2020-03-08,2,1,0,0
2020-03-09,2,0,0,0
2020-03-10,6,4,0,0
2020-03-11,10,4,0,0
2020-03-12,12,2,0,0
2020-03-13,12,0,0,0
2020-03-14,15,3,0,0
2020-03-15,19,4,0,0
2020-03-16,24,5,1,1
2020-03-17,30,6,2,1
2020-03-18,39,9,2,0
2020-03-19,56,17,2,0
2020-03-20,79,23,2,0
2020-03-21,126,47,4,2
2020-03-22,201,75,6,2
2020-03-23,259,58,7,1
2020-03-24,365,106,12,5
2020-03-25,477,112,14,2
2020-03-26,645,168,17,3
2020-03-27,981,336,24,7
2020-03-28,1232,251,31,7
2020-03-29,1514,282,32,1
2020-03-30,1786,272,35,3
2020-03-31,2159,373,49,14
2020-04-01,2565,406,65,16
2020-04-02,3039,474,78,13
2020-04-03,3437,398,102,24
2020-04-04,3953,516,116,14
2020-04-05,4411,458,127,11
2020-04-06,4944,533,139,12
2020-04-07,5507,563,173,34
2020-04-08,5943,436,203,30
2020-04-09,6351,408,245,42
2020-04-10,6907,556,300,55
2020-04-11,7435,528,330,30
2020-04-12,7928,493,343,13
2020-04-13,8236,308,350,7
2020-04-14,8527,291,388,38
2020-04-15,8955,428,436,48
2020-04-16,9542,587,477,41
2020-04-17,10154,612,519,42
2020-04-18,10641,487,545,26
2020-04-19,11210,569,562,17
2020-04-20,11686,476,569,7
2020-04-21,12097,411,630,61
2020-04-22,12438,341,661,31
2020-04-23,13039,601,706,45
2020-04-24,13680,641,741,35
2020-04-25,14395,715,785,44
2020-04-26,15012,617,813,28
2020-04-27,15961,949,844,31
2020-04-28,16588,627,901,57
2020-04-29,17182,594,1065,164
2020-04-30,17835,653,1114,49
2020-05-01,18630,795,1175,61
2020-05-02,19295,665,1229,54
2020-05-03,19933,638,1246,17
2020-05-04,20507,574,1264,18
2020-05-05,21033,526,1326,62
2020-05-06,21870,837,1377,51
2020-05-07,22503,633,1414,37
2020-05-08,23146,643,1447,33
2020-05-09,23732,586,1490,43
2020-05-10,24126,394,1508,18
2020-05-11,24627,501,1540,32
2020-05-12,25127,500,1578,38
2020-05-13,25473,346,1619,41
2020-05-14,26053,580,1646,27
2020-05-15,26655,602,1691,45
2020-05-16,27280,625,1741,50
2020-05-17,27778,498,1751,10
2020-05-18,28255,477,1765,14
2020-05-19,28705,450,1824,59
2020-05-20,29274,569,1864,40
2020-05-21,29936,662,1913,49
2020-05-22,30409,473,1941,28
2020-05-23,30901,492,1943,2
2020-05-24,31376,475,1976,33
2020-05-25,31715,339,1976,0
2020-05-26,32078,363,2004,28
2020-05-27,32437,359,2030,26
2020-05-28,33068,631,2068,38
2020-05-29,33558,490,2110,42
2020-05-30,34211,653,2125,15
2020-05-31,34574,363,2134,9
2020-06-01,34830,256,2142,8
2020-06-02,35237,407,2197,55
2020-06-03,35712,475,2207,10
2020-06-04,36096,384,2231,24
2020-06-05,36578,482,2258,27
2020-06-06,36997,419,2292,34
2020-06-07,37397,400,2303,11
2020-06-08,37623,226,2316,13
2020-06-09,38033,410,2339,23
2020-06-10,38337,304,2355,16
2020-06-11,38748,411,2380,25
2020-06-12,39146,398,2396,16
2020-06-13,39543,397,2413,17
2020-06-14,39909,366,2422,9
2020-06-15,40430,521,2433,11
2020-06-16,40786,356,2447,14
2020-06-17,41013,227,2475,28
2020-06-18,41438,425,2491,16
2020-06-19,41746,308,2516,25
2020-06-20,42061,315,2536,20
2020-06-21,42423,362,2540,4
2020-06-22,42633,210,2553,13
2020-06-23,42871,238,2569,16
2020-06-24,43140,269,2578,9
2020-06-25,43655,515,2586,8
2020-06-26,44140,485,2595,9
2020-06-27,44575,435,2616,21
2020-06-28,44930,355,2619,3
2020-06-29,45228,298,2624,5
2020-06-30,45594,366,2640,16
2020-07-01,45952,358,2650,10
2020-07-02,46387,435,2662,12
2020-07-03,46915,528,2681,19
2020-07-04,47432,517,2687,6
2020-07-05,48008,576,2693,6
2020-07-06,48331,323,2698,5
2020-07-07,48626,295,2717,19
2020-07-08,49063,437,2732,15
2020-07-09,49575,512,2739,7
2020-07-10,50300,725,2748,9
2020-07-11,51079,779,2756,8
2020-07-12,51612,533,2760,4
2020-07-13,52037,425,2762,2
2020-07-14,52685,648,2775,13
2020-07-15,53370,685,2785,10
2020-07-16,54080,710,2795,10
2020-07-17,54813,733,2803,8
2020-07-18,55654,841,2820,17
2020-07-19,56571,917,2822,2
2020-07-20,57206,635,2825,3
2020-07-21,57916,710,2846,21
2020-07-22,58673,757,2863,17
2020-07-23,59602,929,2880,17
2020-07-24,60598,996,2884,4
2020-07-25,61520,922,2895,11
2020-07-26,62372,852,2903,8
2020-07-27,62907,535,2906,3
2020-07-28,63678,771,2924,18
2020-07-29,64299,621,2932,8
2020-07-30,65253,954,2946,14
2020-07-31,66154,901,2965,19
2020-08-01,67122,968,2971,6
2020-08-02,67857,735,2975,4
2020-08-03,68433,576,2980,5
2020-08-04,69255,822,2996,16
2020-08-05,69975,720,3007,11
2020-08-06,71015,1040,3013,6
2020-08-07,72254,1239,3023,10
